nome,foto,partido
Wellington Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
Wellington Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
Wellington Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
Wellington Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
Wellington Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
Weverton,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,PDT
Weverton,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,PDT
Zenaide Maia,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,PROS
Zenaide Maia,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,PROS
Zenaide Maia,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,PROS
Zequinha Marinho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,PL
